angle0, angle1, x, y, theta
10.0000000,11.0000000,595.0580475,817.4643799,0.0077617
109.0000000,63.0000000,496.1317365,1158.9131737,0.6421965
11.0000000,170.0000000,390.0937500,1204.4630682,1.3722266
18.0000000,11.0000000,539.4186667,1077.2186667,0.7501304
108.0000000,84.0000000,475.4088235,1193.3705882,0.7844598
57.0000000,100.0000000,497.6235294,1154.5794118,0.8268514
27.0000000,26.0000000,589.9108696,915.1456522,0.1748507
122.0000000,143.0000000,330.4309392,1301.9337017,1.2536938
115.0000000,85.0000000,445.0586420,1232.4475309,0.8375781
152.0000000,152.0000000,258.5629630,1337.5481481,1.3703518
181.0000000,88.0000000,323.2072072,1331.0270270,0.9838786
18.0000000,149.0000000,431.8719512,1187.6829268,1.1989544
54.0000000,18.0000000,577.1221719,985.7036199,0.2665351
3.0000000,177.0000000,390.4777448,1188.9465875,1.4116412
19.0000000,117.0000000,512.9304348,1105.4000000,0.9059628
45.0000000,50.0000000,565.9501247,1009.6284289,0.4207171
117.0000000,37.0000000,527.7637363,1104.4862637,0.4114982
175.0000000,101.0000000,320.4174757,1333.7540453,1.0281875
22.0000000,154.0000000,417.3125000,1204.0029762,1.2465387
11.0000000,42.0000000,578.4838710,978.7612903,0.4186253
20.0000000,111.0000000,526.9854227,1086.6326531,0.8206997
177.0000000,91.0000000,341.9846626,1318.4171779,0.9669616
167.0000000,148.0000000,242.0052770,1347.8733509,1.3449636
84.0000000,117.0000000,432.7437500,1237.2875000,1.0105637
178.0000000,72.0000000,372.6078431,1296.7254902,0.8356769
55.0000000,155.0000000,378.8245125,1251.5766017,1.2836976
6.0000000,151.0000000,436.2400932,1175.9044289,1.2108244
100.0000000,131.0000000,397.7851459,1253.3793103,1.1291964
57.0000000,113.0000000,479.6338462,1175.6092308,0.9281175
19.0000000,36.0000000,586.9327146,914.5498840,0.2382013
92.0000000,98.0000000,472.6397516,1202.1149068,0.8481983
3.0000000,154.0000000,442.8923077,1171.4092308,1.1962788
94.0000000,142.0000000,378.2880435,1260.7500000,1.2123952
119.0000000,155.0000000,309.9009901,1303.5891089,1.3602363
15.0000000,55.0000000,579.9346247,942.3680387,0.3846134
58.0000000,99.0000000,513.2416918,1134.9667674,0.7867636
23.0000000,4.0000000,599.7869318,865.4829545,0.0309745
173.0000000,94.0000000,347.6272727,1315.5484848,0.9697157
139.0000000,140.0000000,310.1566265,1320.7500000,1.2481912
165.0000000,31.0000000,447.6381215,1221.1850829,0.5451296
162.0000000,174.0000000,186.5298013,1347.4602649,-1.5682282
4.0000000,22.0000000,470.1812298,1186.6699029,0.8849626
65.0000000,170.0000000,344.4424084,1255.8167539,1.4204484
37.0000000,97.0000000,522.4680233,1111.0930233,0.7857511
146.0000000,177.0000000,207.5017668,1340.1060071,-1.5653198
66.0000000,136.0000000,419.7400000,1231.1366667,1.1226543
59.0000000,0.0000000,585.0000000,925.0000000,0.0097508
6.0000000,131.0000000,505.1918239,1107.4025157,0.9763152
73.0000000,160.0000000,358.5198864,1260.7187500,1.3581852
108.0000000,172.0000000,277.4193548,1299.8978495,1.5086991
92.0000000,128.0000000,401.2466667,1260.8300000,1.1031183
141.0000000,102.0000000,396.5732087,1273.3052960,0.9598938
